Rwanda,560,570,650,650,350,490,540,590,600,590,620,660,740,750,820,910,1000,1090,1190,1250,1320,1410,1520,1560,1660,1780,1870
Samoa,,,,,,,,2970,3060,3160,3430,3750,3940,4020,4380,4500,4620,5030,5130,4970,5140,5460,5480,5450,5590,5800,6200
"Saint Thomas and Principe",,,,,,,,,,,,1560,1590,1720,1780,1940,2230,2330,2430,2450,2600,2700,2720,2910,3100,3130,3240
"Saudi Arabia",28490,32180,32950,32650,32250,32560,32830,33090,34080,32760,34300,33950,32480,35670,38550,40880,42210,43170,45630,43920,45100,49220,51240,52020,53570,55370,55760
Senegal,1150,1180,1200,1200,1180,1240,1280,1310,1380,1440,1480,1550,1540,1640,1750,1840,1910,2000,2070,2060,2110,2110,2180,2220,2280,2380,2480
Serbia,,,,,,,,5570,5760,5140,5720,6150,6770,7150,8000,8600,9490,10260,11590,11650,11830,12670,12660,13200,13250,13420,13680
Seychelles,8860,9350,10280,10930,10950,10580,11240,12760,13530,13650,13870,14200,13140,13270,14320,16030,17690,18380,17630,17880,18840,20990,22930,24350,24950,25670,28390
"Sierra Leone",720,780,630,690,650,660,700,670,660,660,700,650,790,850,880,910,960,1110,1200,1240,1210,1230,1470,1700,1740,1380,1320
Singapore,21970,23420,25290,27550,30940,32980,34180,37390,35550,37860,40730,39980,41180,44210,47330,51520,57870,62430,60580,58790,70240,73010,74580,78610,82420,82300,85050
Slovakia,,,,,,8680,9430,10070,10610,10640,11290,12400,13240,13430,14590,16160,18310,20530,23250,22930,24450,24900,26140,27640,28510,29420,29910
Slovenia,,,,,,13690,14400,15340,16080,17140,18070,19060,20210,20980,22560,23800,25550,27050,28940,27140,27530,28580,28640,29370,30960,31230,32360
"Solomon Islands",790,890,940,890,970,1030,1000,1610,1610,1590,1370,1260,1200,1270,1360,1430,1550,1530,1490,1200,1290,1490,1870,2090,2020,2170,2150
"South Africa",6160,6220,6100,6180,6380,6570,6830,7010,7000,7170,7520,7770,8140,8420,9000,9660,10380,10920,11350,11210,11530,11930,12220,12540,12780,12900,12860
"South Sudan",,,,,,,,,,,,,,,,,,,2520,2620,2610,2240,1770,1900,1870,1700,
Spain,13520,14300,14670,14850,15250,16130,16740,17700,18850,19790,21440,22720,24090,24850,25960,27300,30300,31800,32570,31830,31540,31510,31760,32430,33550,34670,36340
"Sri Lanka",2350,2510,2660,2880,3060,3240,3400,3660,3840,4030,4340,4340,4560,4920,5290,5740,6310,6890,7290,7640,8300,9120,9980,10350,11060,11480,11970
"Saint Kitts and Nevis",9060,9010,9400,10170,10810,11650,12260,13110,12820,13250,14840,15740,16100,15350,16410,18430,19390,19740,21150,20430,20110,20950,21070,22510,23990,24940,25940
"Saint Lucia",5560,5660,6230,6270,6450,6580,6860,6820,7200,7440,7480,7240,7430,7770,8380,8540,9560,9720,10190,10360,10280,10620,10490,10710,10900,11190,11370
"Saint Vincent and Grenadines",3440,3590,3960,4230,4220,4650,4840,5050,5320,5470,5700,5990,6450,6990,7410,7850,8810,8970,9750,9740,9540,9680,10140,10550,10850,11090,11530
Sudan,1040,1050,1140,1220,1260,1340,1440,1590,1630,1640,1710,1790,1890,1980,2060,2240,2500,2770,2970,2990,3040,3480,3820,2700,3990,4150,4290
Suriname,6660,6930,6990,6650,6800,6980,7150,7500,7600,7160,7700,6290,7730,8230,8970,10170,11240,12240,12940,13230,13590,14010,14820,15550,15930,15630,13720
Swaziland,3660,3770,3910,3930,3850,4280,4580,4690,4560,4770,4720,5050,4990,5140,5550,6340,6500,6910,6890,6790,6780,6940,7190,7530,8100,7980,7980
Sweden,19880,20040,19890,19710,21120,22410,23270,24140,25310,27090,29260,29710,30650,32060,33790,34480,38480,41860,43380,40720,42890,44720,45830,46720,47440,48560,50000
Switzerland,28150,28490,28730,29240,29760,30580,31360,33250,34510,35750,38050,38330,38730,40140,41620,43910,48380,49840,48960,52690,56140,56460,58880,61190,61800,63930,63660
Tajikistan,2360,2210,1580,1310,1020,890,720,770,810,830,900,990,1090,1200,1360,1470,1580,1740,1890,1930,2550,2820,3020,3320,3320,3360,3500
Tanzania,910,930,930,930,940,970,1020,1040,1070,1110,1160,1200,1300,1370,1470,1590,1690,1810,1890,1940,2030,2170,2240,2370,2500,2610,2740
Thailand,4240,4690,5100,5630,6150,6710,7090,6900,6310,6680,7140,7420,7870,8490,9190,9800,10630,11480,11860,11770,12660,13210,14040,14320,14830,15380,16070
"Timor Leste",,,,,,,,,,,1770,1840,2040,1670,1650,2020,3110,4390,6890,5100,6340,7880,8250,7470,5610,4340,
